,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
0,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",Persephone,0.19999999999999998,0.37209439277648926,58,5,53
1,what is the name of the most important jewish text,the Shulchan Aruch,Torah,0.0,0.34122633934020996,56,4,52
2,what is the name of spain's most famous soccer team,Real Madrid,Real Madrid,1.0,0.35775279998779297,58,4,54
3,when was the first robot used in surgery,1983,1985,0.0,0.29288578033447266,54,4,50
4,who sings the song i don't care i love it,Icona Pop and Charli XCX,Icona Pop,0.5714285714285715,0.36139440536499023,58,5,53
5,who are uncle owen and aunt beru related to,Shmi,Luke Skywalker,0.0,0.2929103374481201,57,4,53
6,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",Africa,0.11764705882352941,0.314544677734375,54,3,51
7,100 acres is equal to how many hectares,1 square hectometre (hm2),40.47 hectares,0.0,0.334153413772583,56,6,50
8,where was donovan mitchell picked in the draft,13th,13th,1.0,0.4043543338775635,57,4,53
9,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,Candlestick Park,0.0,0.308290958404541,58,8,52
10,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,Luis Guillermo Solís,0.8571428571428571,0.4151458740234375,61,8,53
11,when did power rangers tv show come out,"August 28, 1993",1993,0.5,0.3491952419281006,55,4,51
12,how many beverly hills cops movies are there,three,3,0.0,0.26278209686279297,55,3,52
13,who holds the most women's wimbledon titles,Martina Navratilova,Martina Navratilova,1.0,0.35614681243896484,59,8,51
14,where does jinx you owe me a coke come from,Jinx is a children's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously,Unknown,0.0,0.3157527446746826,56,93,53
15,where does the last name hickey come from,Irish origin,Irish,0.6666666666666666,0.2687501907348633,55,6,51
16,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia",Saudi Arabia,0.8,0.32786011695861816,55,4,51
17,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",Sheridan Smith,0.0,0.35191893577575684,60,5,55
18,what is andy's sisters name in toy story,Molly,Molly,1.0,0.3559303283691406,56,4,52
19,who sings with shaggy on it wasn me,English-Jamaican singer Rikrok,RikRok,0.5,0.3297438621520996,58,6,52
20,what is the largest catholic high school in america,St. Francis Preparatory School,St. John Bosco High School,0.4444444444444445,0.5107910633087158,60,7,51
21,who established the peoples republic of china in 1949,Mao Zedong,Mao Zedong,1.0,0.3640105724334717,60,7,53
22,who sang take that look off your face,Marti Webb,Marti Webbb,0.5,0.3786005973815918,56,5,50
23,who plays percy in the lost city of z,Charlie Hunnam,Charlie Hunnam,1.0,0.32640624046325684,57,5,52
24,who plays the first lady on house of cards,Joanna C. Going,Robin Wright,0.0,0.36267685890197754,55,4,51
25,who owns st andrews golf course in scotland,The St Andrews Links Trust,The St Andrews Links Trust,1.0,0.29909539222717285,60,19,53
26,which city and state hosts the annual college world series,"Omaha, Nebraska","Omaha, Nebraska",1.0,0.4125204086303711,58,6,52
27,who is ted talking about in how i met your mother,Tracy McConnell,"The mother, Tracy Mosby.",0.4,0.39350414276123047,62,4,53
28,when does grey's anatomy season 14 premiere,"September 28, 2017","September 28, 2017",1.0,0.3428614139556885,60,6,51
29,the partial pressure of carbon dioxide in arterial blood is approximately,at sea level (765 mmHg) in arterial blood is between 35 mmHg and 45 mmHg,40 mmHg,0.11764705882352941,1.3261539936065674,59,6,53
30,what was uncle jesse's original last name on full house,Cochran,Katsopolis,0.0,0.40148210525512695,60,6,54
31,who pays the judgements on the judge mathis show,Greg Mathis,Plaintiff,0.0,0.3404862880706787,58,5,53
32,who made up the elf on the shelf,Chanda Bell,"Chanda Bell, Christa Pitts, and Carol Aebersold",0.4444444444444445,0.45908093452453613,66,10,50
33,who warned concord that the british were coming,Samuel Prescott,Paul Revere,0.0,0.37779951095581055,56,5,51
34,who lasted the longest on alone season 2,David McIntyre,Dave,0.0,0.45501041412353516,54,5,51
35,where is the us military base in japan,"Yokota Air Base, Fussa, Western Tokyo",Okinawa,0.0,0.33649182319641113,55,5,50
36,who determines the size of the supreme court,Congress,Legislation or Congress,0.5,0.40610241889953613,56,13,50
37,who is the actor that plays lucifer on tv,Thomas John Ellis,Tom Ellis,0.4,0.2661714553833008,56,4,52
38,who designed the national coat of arms of south africa,Iaan Bekker,Fred Brownell,0.0,0.35350799560546875,57,7,52
39,when does model code of conduct come into force,immediately on announcement of the election schedule by the commission,During elections,0.0,0.33271050453186035,55,4,51
40,when did now thats what i call music come out,28 November 1983,1983,0.5,0.3359827995300293,56,4,52
41,where is the 2018 grey cup being played,"The Brick Field at Commonwealth Stadium in Edmonton, Alberta","Edmonton, Alberta",0.4,0.3710324764251709,58,6,52
42,where did the band bastille get their name,Bastille Day,"Dan Smith named the band after Bastille Day, which is the French National Day celebrated on July 14th.",0.2222222222222222,0.5869584083557129,76,32,51
43,where is arkansas river located on a map,"The Arkansas River flows through Colorado, Kansas, Oklahoma, and Arkansas, and its watershed also drains parts of Texas, New Mexico and Missouri.",United States,0.0,0.3694133758544922,55,4,51
44,who plays nicholas in the princess diaries 2,Chris Pine,Chris Pine,1.0,0.3317534923553467,57,4,53
45,the p-wave phase of an electrocardiogram (ecg) represents,atrial depolarization,atrial depolarization,1.0,0.5743834972381592,79,7,57
46,when did star trek the next generation first air,"September 28, 1987",1987,0.5,0.35601258277893066,55,4,51
47,who sang the most wonderful summer of my life,Jackie Ward,Carlo Frisi,0.0,0.5289168357849121,75,7,51
48,how many oscars did on golden pond win,three,3,0.0,0.28955817222595215,54,3,51
49,who won season 4 of america's got talent,Kevin Skinner,Kevin Skinner,1.0,0.2654879093170166,56,6,52
50,how many episodes on queen of the south season 1,13,13,1.0,0.31503844261169434,56,4,53
51,who is the existing prime minister of pakistan,Imran Khan,Imran Khan,1.0,0.36125993728637695,55,5,50
52,who is known as the father of texas,Stephen Fuller Austin,Stephen F. Austin,0.6666666666666666,0.3773927688598633,56,6,50
53,what is the orange stuff on my sushi,tobiko,Masago,0.0,0.33620190620422363,54,4,50
54,when did nsw last won a state of origin series,2018,2021,0.0,0.33937692642211914,57,4,53
55,when does life is strange before the storm part 2,October 2017,Life is Strange: Before the Storm,0.0,0.5024404525756836,68,23,53
56,where is sodom and gomorrah located in the bible,on the Jordan River plain in the southern region of the land of Canaan,Near the Dead Sea,0.0,0.32775092124938965,60,8,54
57,when did the xbox 360 slim come out,in 2010,2010,0.6666666666666666,0.39279770851135254,55,4,51
58,who spread the theory that one is a product of the mind and body,René Descartes,Descartes proposed the theory of mind-body dualism.,0.25,0.42156004905700684,68,7,56
59,how many goals scored ronaldo in his career,over 670,800+ goals,0.0,0.3048880100250244,57,3,52
60,who played tess on touched by an angel,"Delloreese Patricia Early (July 6, 1931 – November 19, 2017), known professionally as Della Reese",Della Reese,0.23529411764705882,0.3552839756011963,55,5,50
61,when did the hornets move to new orleans,2002–03 season,2002,0.0,0.3490641117095947,56,4,52
62,fish appeared in the fossil record during the,the Cambrian explosion,Cambrian period,0.5,0.2810385227203369,55,5,50
63,who died from the band faith no more,singer Chuck Mosley,Chuck Mosley,0.8,0.35807013511657715,55,5,50
64,who signed the gun control act of 1968,President Lyndon B. Johnson,Lyndon B. Johnson,0.8571428571428571,0.3562922477722168,59,7,52
65,where do frankenstein and the monster first meet,the mountains,Laboratory,0.0,0.347379207611084,55,7,51
66,the human tendency to mimic other people’s behavior is an example of,Mirroring,social learning,0.0,0.3912639617919922,59,4,55
67,when does season five of the killing come out,a fourth season consisting of six episodes to conclude the series,Season 5 of The Killing has not been announced.,0.23529411764705882,0.41384458541870117,64,13,51
68,how is the head of the church of england,the monarch is the supreme governor,Appointed by the British monarch.,0.25,0.38156867027282715,61,5,52
69,how to remove a methyl group from benzene,replacement of a methyl group by a hydrogen atom,Halogenation followed by reduction,0.18181818181818182,0.48531556129455566,59,5,51
70,what does a nose ring mean in india,"a mark of beauty and social standing as well as a Hindu's honor to Parvati, the goddess of marriage",Fashion accessory,0.0,0.2952277660369873,54,14,50
71,the cuban missile crisis began in 1962 when which country placed nuclear missiles in cuba,Soviet Union,Soviet Union,1.0,0.3598053455352783,67,6,61
72,when did fasb codification become authoritative u.s. gaap,"after September 15, 2009",July 2009,0.3333333333333333,0.3864326477050781,61,4,55
73,who plays frank in f is for family,Bill Burr,Bill Burr,1.0,0.6156830787658691,54,6,50
74,android operating system was acquired by google in,July 2005,2005,0.6666666666666666,0.2944180965423584,54,4,50
75,where does the flexor digitorum superficialis distally attach,The tendons attach to the anterior margins on the bases of the intermediate phalanges of the four fingers. These tendons have a split (Camper's Chiasm) at the end of them through which the tendons of flexor digitorum profundus pass.,Middle phalanges of the four medial digits,0.16216216216216214,2.5410561561584473,66,12,55
76,who played daniel in the bible mini series,Jake Canuso,Diogo Morgado,0.0,0.41068291664123535,57,6,51
77,what does the star on the ghana flag mean,"adopted from the flag of the Black Star Line, a shipping line incorporated by Marcus Garvey that operated from 1919 to 1922",Symbol of African freedom,0.08695652173913043,0.4028031826019287,58,3,52
