,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
0,what is the name of the most important jewish text,the Shulchan Aruch,The name of the most important Jewish text is the Torah.,0.0,0.4467344284057617,67,30,165
1,what is the name of spain's most famous soccer team,Real Madrid,Real Madrid,1.0,0.5147547721862793,75,47,171
2,when was the first robot used in surgery,1983,1985,0.0,0.7710151672363281,95,81,159
3,who sings the song i don't care i love it,Icona Pop and Charli XCX,Icona Pop,0.5714285714285715,0.5943784713745117,78,67,168
4,who are uncle owen and aunt beru related to,Shmi,Luke Skywalker,0.0,0.5381584167480469,76,69,168
5,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",Southern Africa,0.2222222222222222,0.8315470218658447,87,135,162
6,100 acres is equal to how many hectares,1 square hectometre (hm2),40.4686 hectares,0.0,1.0180120468139648,121,213,159
7,where was donovan mitchell picked in the draft,13th,13th overall,0.6666666666666666,0.687131404876709,92,109,168
8,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,"Apple Corps rooftop, London",0.23529411764705882,0.8274221420288086,92,90,165
9,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,The president of Costa Rica in 2017 was Luis Guillermo Solís.,0.4285714285714285,0.48280906677246094,72,59,168
10,when did power rangers tv show come out,"August 28, 1993","August 28, 1993",1.0,0.6503851413726807,79,99,162
11,how many beverly hills cops movies are there,three,There are three Beverly Hills Cop movies.,0.25,0.3961451053619385,63,28,165
12,who holds the most women's wimbledon titles,Martina Navratilova,Martina Navratilova,1.0,0.7335844039916992,82,99,162
13,where does jinx you owe me a coke come from,Jinx is a children's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously,Origin: Common social phrase used among friends.,0.07142857142857142,1.897916555404663,164,347,168
14,where does the last name hickey come from,Irish origin,"Irish origin, derived from the Gaelic name ""Ó hÍceadha"".",0.4,1.3711841106414795,128,182,162
15,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia","Jeddah, Saudi Arabia",1.0,0.6059648990631104,79,73,162
16,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",Jodie Foster,0.0,0.600841760635376,81,58,174
17,what is andy's sisters name in toy story,Molly,Molly,1.0,0.47865867614746094,71,44,165
18,who sings with shaggy on it wasn me,English-Jamaican singer Rikrok,RikRok,0.5,0.4209609031677246,67,75,165
19,what is the largest catholic high school in america,St. Francis Preparatory School,Archbishop Moeller High School,0.25,0.6563425064086914,90,100,162
20,who established the peoples republic of china in 1949,Mao Zedong,Mao Zedong,1.0,0.757190465927124,91,103,168
21,who sang take that look off your face,Marti Webb,"The song ""Take That Look Off Your Face"" was originally sung by Marti Webb.",0.2666666666666667,0.45586180686950684,71,56,159
22,who plays percy in the lost city of z,Charlie Hunnam,Charlie Hunnam,1.0,0.7026124000549316,85,63,165
23,who plays the first lady on house of cards,Joanna C. Going,Robin Wright,0.0,0.475811243057251,70,45,162
24,who owns st andrews golf course in scotland,The St Andrews Links Trust,St Andrews Links Trust and The Royal and Ancient Golf Club of St Andrews.,0.47058823529411764,1.3598530292510986,102,69,168
25,which city and state hosts the annual college world series,"Omaha, Nebraska","Omaha, Nebraska",1.0,0.5848133563995361,74,43,165
26,who is ted talking about in how i met your mother,Tracy McConnell,"Ted is talking about the mother of his children in the television series ""How I Met Your Mother."" Her name is Tracy McConnell.",0.17391304347826084,0.6345384120941162,82,164,168
27,when does grey's anatomy season 14 premiere,"September 28, 2017","September 28, 2017",1.0,0.5542380809783936,80,78,162
28,the partial pressure of carbon dioxide in arterial blood is approximately,at sea level (765 mmHg) in arterial blood is between 35 mmHg and 45 mmHg,40 mmHg,0.11764705882352941,0.8417625427246094,102,235,168
29,what was uncle jesse's original last name on full house,Cochran,Cochran,1.0,0.5523626804351807,77,61,171
30,who pays the judgements on the judge mathis show,Greg Mathis,Production company,0.0,0.6232912540435791,86,78,168
31,who made up the elf on the shelf,Chanda Bell,Carol Aebersold and Chanda Bell,0.5714285714285715,0.8268692493438721,92,105,159
32,who warned concord that the british were coming,Samuel Prescott,Paul Revere and William Dawes were the two riders who warned Concord that the British were coming.,0.0,0.51131272315979,74,59,162
33,who lasted the longest on alone season 2,David McIntyre,The contestant who lasted the longest on Alone Season 2 was David McIntyre. He survived for 66 days.,0.2222222222222222,0.5406696796417236,77,102,162
34,where is the us military base in japan,"Yokota Air Base, Fussa, Western Tokyo","Kadena Air Base, Okinawa, Japan",0.3636363636363636,0.8539421558380127,102,72,159
35,who determines the size of the supreme court,Congress,"The size of the Supreme Court is determined by Congress through legislation. Specifically, the number of justices on the Court is set by Congress and can be changed at any time through the passing of a law.",0.0625,0.8368186950683594,93,55,159
36,who is the actor that plays lucifer on tv,Thomas John Ellis,Tom Ellis,0.4,0.5241355895996094,71,41,165
37,who designed the national coat of arms of south africa,Iaan Bekker,Frederick Brownell,0.0,0.5561461448669434,78,78,165
38,when does model code of conduct come into force,immediately on announcement of the election schedule by the commission,When the Election Commission announces the schedule for elections.,0.39999999999999997,0.9286420345306396,105,139,162
39,when did now thats what i call music come out,28 November 1983,1983,0.5,0.7458736896514893,84,79,165
40,where is the 2018 grey cup being played,"The Brick Field at Commonwealth Stadium in Edmonton, Alberta","Edmonton, Alberta, Canada",0.36363636363636365,0.6652398109436035,82,73,165
41,where did the band bastille get their name,Bastille Day,Bastille Day,1.0,1.0875978469848633,116,118,162
42,where is arkansas river located on a map,"The Arkansas River flows through Colorado, Kansas, Oklahoma, and Arkansas, and its watershed also drains parts of Texas, New Mexico and Missouri.",Central United States,0.0,0.5951051712036133,85,110,162
43,who plays nicholas in the princess diaries 2,Chris Pine,Chris Pine,1.0,0.5128488540649414,78,63,168
44,the p-wave phase of an electrocardiogram (ecg) represents,atrial depolarization,Atrial depolarization,1.0,0.6675541400909424,89,83,180
45,when did star trek the next generation first air,"September 28, 1987","September 28, 1987",1.0,0.6150937080383301,86,87,162
46,who sang the most wonderful summer of my life,Jackie Ward,Paolo Conte,0.0,0.7055814266204834,89,126,162
47,how many oscars did on golden pond win,three,3 Oscars,0.0,0.9146459102630615,106,89,162
48,who won season 4 of america's got talent,Kevin Skinner,Kevin Skinner,1.0,0.4963259696960449,73,59,165
49,how many episodes on queen of the south season 1,13,13,1.0,0.5685362815856934,77,59,168
50,who is the existing prime minister of pakistan,Imran Khan,The current Prime Minister of Pakistan is Imran Khan.,0.4,0.47034764289855957,64,51,159
51,who is known as the father of texas,Stephen Fuller Austin,Stephen F. Austin,0.6666666666666666,0.4432370662689209,72,58,159
52,what is the orange stuff on my sushi,tobiko,TOBIKO,1.0,0.6534128189086914,78,101,159
53,when did nsw last won a state of origin series,2018,2019,0.0,0.5422425270080566,81,96,168
54,when does life is strange before the storm part 2,October 2017,"October 19, 2017",0.8,1.3220548629760742,147,152,168
55,where is sodom and gomorrah located in the bible,on the Jordan River plain in the southern region of the land of Canaan,Genesis 19,0.0,0.9163391590118408,95,117,171
56,when did the xbox 360 slim come out,in 2010,"June 14, 2010",0.4,0.7062618732452393,80,66,162
57,who spread the theory that one is a product of the mind and body,René Descartes,"Descartes, a French philosopher, is known for spreading the theory that one is a product of the mind and body.",0.1111111111111111,0.7600142955780029,84,194,177
58,how many goals scored ronaldo in his career,over 670,OVER 700 GOALS,0.4,0.5980386734008789,82,102,165
59,who played tess on touched by an angel,"Delloreese Patricia Early (July 6, 1931 – November 19, 2017), known professionally as Della Reese","The character Tess on ""Touched by an Angel"" was played by Della Reese.",0.15384615384615383,0.5000994205474854,71,59,159
60,when did the hornets move to new orleans,2002–03 season,2002,0.0,0.46474647521972656,71,94,165
61,fish appeared in the fossil record during the,the Cambrian explosion,Ordovician Period,0.0,0.8849842548370361,106,133,159
62,who died from the band faith no more,singer Chuck Mosley,"Chuck Mosley, who was the original lead singer of Faith No More, passed away on November 9, 2017.",0.3,0.5778300762176514,79,81,159
63,who signed the gun control act of 1968,President Lyndon B. Johnson,Lyndon B. Johnson,0.8571428571428571,0.6401455402374268,83,92,165
64,where do frankenstein and the monster first meet,the mountains,LABORATORY,0.0,0.588064432144165,81,56,162
65,the human tendency to mimic other people’s behavior is an example of,Mirroring,social influence,0.0,0.502274751663208,78,30,174
66,when does season five of the killing come out,a fourth season consisting of six episodes to conclude the series,"The fifth season of ""The Killing"" has not been announced.",0.23529411764705882,0.4479866027832031,67,100,162
67,how is the head of the church of england,the monarch is the supreme governor,The reigning monarch of the United Kingdom.,0.22222222222222224,0.573643684387207,81,184,165
68,how to remove a methyl group from benzene,replacement of a methyl group by a hydrogen atom,Benzene,0.0,1.2168288230895996,121,561,162
69,what does a nose ring mean in india,"a mark of beauty and social standing as well as a Hindu's honor to Parvati, the goddess of marriage",VARIES DEPENDING ON CULTURE AND REGION,0.09090909090909091,1.2594783306121826,135,231,159
70,the cuban missile crisis began in 1962 when which country placed nuclear missiles in cuba,Soviet Union,Soviet Union,1.0,1.9279134273529053,93,76,192
71,when did fasb codification become authoritative u.s. gaap,"after September 15, 2009","July 1, 2009",0.28571428571428575,0.7337737083435059,91,74,174
72,who plays frank in f is for family,Bill Burr,Bill Burr,1.0,0.4642808437347412,70,59,159
73,android operating system was acquired by google in,July 2005,2005,0.6666666666666666,0.4036741256713867,61,69,159
74,where does the flexor digitorum superficialis distally attach,The tendons attach to the anterior margins on the bases of the intermediate phalanges of the four fingers. These tendons have a split (Camper's Chiasm) at the end of them through which the tendons of flexor digitorum profundus pass.,Middle phalanges of the four medial fingers,0.2162162162162162,0.6917169094085693,93,104,174
75,who played daniel in the bible mini series,Jake Canuso,Jake Canuso,1.0,0.5042259693145752,77,66,162
76,what does the star on the ghana flag mean,"adopted from the flag of the Black Star Line, a shipping line incorporated by Marcus Garvey that operated from 1919 to 1922",Freedom and African emancipation,0.0,0.7460978031158447,92,94,165
77,when is the last movie of divergent coming out,TBA,No release date for the final movie is available.,0.0,1.1902329921722412,121,180,165
78,the former peterlee campus of east durham college,East Durham & Houghall Community College,What is your question about the former Peterlee Campus of East Durham College?,0.35294117647058826,0.46455979347229004,70,51,165
79,the amount of light reflected from the front surface of common window glass is about,about 4% per surface,4%,0.4,2.088900566101074,216,211,180
80,how many cm is a 24 inch tv,61,60.96 cm,0.0,1.187678337097168,124,182,162
81,where was the walking dead season 7 filmed,Georgia,"Senoia, Georgia, USA",0.5,0.6521914005279541,82,101,162
82,who plays male lead in far from the madding crowd,Carey Mulligan,Matthias Schoenaerts,0.0,0.7581837177276611,87,85,168
83,who is in the cast of the handmaid's tale,Elisabeth Moss,"Elisabeth Moss, Joseph Fiennes, Yvonne Strahovski, Alexis Bledel, Madeline Brewer, Ann Dowd, O-T Fagbenle, Max Minghella, Samira Wiley",0.19999999999999998,2.049091339111328,161,308,168
84,who owned the first casino in las vegas,local Las Vegas business owners,John F. Miller and Isaac Lankershim,0.0,1.4072871208190918,104,130,159
85,who is the lead singer of portugal the man,John Baldwin Gourley,John Gourley,0.8,0.5236320495605469,76,63,165
86,who does billy russo become on the punisher,Jigsaw,Jigsaw,1.0,0.8062682151794434,98,59,168
87,who was the founder of chick fil a,S. Truett Cathy,S. Truett Cathy,1.0,0.6139538288116455,77,72,159
88,when was asbestos first found to be dangerous,began with the 20th century and escalated during the 1920s and 1930s,Early 1900s,0.0,0.6857688426971436,89,106,159
89,where is the black box located on an airplane,usually mounted in the aircraft's tail section,TAIL SECTION,0.5,0.8913381099700928,94,71,162
90,when did the brewers go to national league,1998,1998,1.0,0.46630287170410156,71,61,159
91,who are the songwriters for the greatest showman,Benj Pasek,Benj Pasek and Justin Paul,0.5714285714285715,0.6370618343353271,89,101,165
92,who plays dylan in now you see me,Mark Ruffalo,Mark Ruffalo,1.0,0.572641134262085,80,61,162
93,where was the ark of the covenant taken,Kiriath-Jearim,Jerusalem,0.0,1.5335853099822998,153,72,159
94,harrow on the hill height above sea level,124 metres (408 ft),408 feet,0.3333333333333333,0.6771657466888428,88,73,162
95,who plays hitler in man in the high castle,Wolf Muser,Wolf Muser,1.0,0.5979747772216797,82,76,165
96,lowest city below sea level in the world,"Jericho, West Bank",Jericho,0.5,0.7984364032745361,92,160,159
97,who voiced jack in rise of the guardians,Chris Pine,Chris Pine,1.0,0.557164192199707,71,59,159
98,what type of hybrid is the ford fusion,gasoline-electric,plug-in hybrid,0.0,0.49712634086608887,68,42,159
99,how many states is there in united states,50,50,1.0,0.5164258480072021,67,41,159
100,what is the first harry potter book called in england,Harry Potter and the Philosopher's Stone,"The first Harry Potter book in England is called ""Harry Potter and the Philosopher's Stone.""",0.5555555555555556,0.6461517810821533,77,81,174
101,when did montgomery ward's go out of business,2001,2001,1.0,0.6369495391845703,83,60,165
102,who won series 7 of great british bake off,Candice Brown,Candice Brown.,1.0,0.5871779918670654,79,66,165
103,who does the voice of special ed on crank yankers,Jim Florentine,Jim Florentine,1.0,0.6407942771911621,82,74,171
104,what does the ministry of trade and industry do,directs the formulation of policies related to the development of trade and industry in Singapore,"It promotes economic growth, enhances competitiveness, facilitates trade relations, and formulates policies to support a conducive business environment.",0.26666666666666666,1.4786443710327148,144,284,162
105,who sings nothings gonna hurt you baby,Cigarettes After Sex,Cigarettes After Sex,1.0,0.611579179763794,78,85,159
106,where in the bible does it talk about manna from heaven,Exodus 16:1–36,Exodus 16,0.5,1.3899383544921875,129,69,171
107,winds that blow predominantly from the northeast and the southeast are the,The trade winds,Trade winds,1.0,0.34671807289123535,66,28,174
108,what is the use of symbolic link in linux,to reorder the file system hierarchy,"Symbolic links in Linux are used to create pointers to files or directories, providing a way to reference the original file or directory from a different location within the file system.",0.18750000000000003,2.187314033508301,224,316,162
109,time after time song was in what movie,John Tucker Must Die,"""Time After Time"" by Cyndi Lauper was featured in the movie ""Strictly Ballroom.""",0.0,0.5355284214019775,75,81,159
110,who sings i'm the one your mother warned you about,Mickey Gilley,T.G. Sheppard,0.0,0.9850049018859863,89,75,168
