,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
0,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",Persephone,0.19999999999999998,0.4818856716156006,75,29,56
1,what is the name of the most important jewish text,the Shulchan Aruch,Torah,0.0,0.4177072048187256,69,9,55
2,what is the name of spain's most famous soccer team,Real Madrid,Real Madrid,1.0,0.40296149253845215,65,17,57
3,when was the first robot used in surgery,1983,The first documented use of a robot in surgery was in 1985 when the PUMA 560 robotic surgical arm was used in a delicate neurosurgical biopsy.,0.0,0.6739299297332764,87,30,53
4,who sings the song i don't care i love it,Icona Pop and Charli XCX,Icona Pop featuring Charli XCX,0.8000000000000002,0.5876278877258301,86,30,56
5,who are uncle owen and aunt beru related to,Shmi,Uncle Owen and Aunt Beru are related to Luke Skywalker.,0.0,0.42583537101745605,69,13,56
6,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",ZIMBABWE IS LOCATED IN SOUTHERN AFRICA.,0.2727272727272727,2.4908266067504883,194,13,54
7,100 acres is equal to how many hectares,1 square hectometre (hm2),40.4686 hectares,0.0,0.987907886505127,106,60,53
8,where was donovan mitchell picked in the draft,13th,13,0.0,0.5222864151000977,77,34,56
9,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,"The Beatles' final live performance took place on January 30, 1969, on the rooftop of the Apple Corps building in London.",0.1935483870967742,0.6142499446868896,83,34,55
10,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,The President of Costa Rica in 2017 was Luis Guillermo Solís.,0.4285714285714285,0.46555590629577637,72,25,56
11,when did power rangers tv show come out,"August 28, 1993","August 28, 1993",1.0,0.6223089694976807,85,22,54
12,how many beverly hills cops movies are there,three,There are three Beverly Hills Cop movies.,0.25,0.3628222942352295,63,13,55
13,who holds the most women's wimbledon titles,Martina Navratilova,Martina Navratilova,1.0,0.6687009334564209,85,25,54
