,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
0,what is the name of the most important jewish text,the Shulchan Aruch,Torah,0.0,0.3261852264404297,56,12,156
1,what is the name of spain's most famous soccer team,Real Madrid,Real Madrid,1.0,0.3193385601043701,58,12,162
2,when was the first robot used in surgery,1983,1985,0.0,0.3348517417907715,54,12,150
3,who sings the song i don't care i love it,Icona Pop and Charli XCX,Icona Pop,0.5714285714285715,0.3564302921295166,58,15,159
4,who are uncle owen and aunt beru related to,Shmi,Luke Skywalker,0.0,0.33815455436706543,57,12,159
5,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",Africa,0.11764705882352941,0.33219289779663086,54,9,153
6,100 acres is equal to how many hectares,1 square hectometre (hm2),40.4686 hectares,0.0,0.39053916931152344,57,18,150
7,where was donovan mitchell picked in the draft,13th,13th,1.0,0.3356916904449463,57,12,159
8,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,Roof of Apple Corps headquarters,0.5555555555555556,0.39590001106262207,60,20,156
9,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,Luis Guillermo Solís,0.8571428571428571,0.3682103157043457,61,24,159
10,when did power rangers tv show come out,"August 28, 1993",1993,0.5,0.3341097831726074,55,12,153
11,how many beverly hills cops movies are there,three,3,0.0,0.3452131748199463,55,9,156
12,who holds the most women's wimbledon titles,Martina Navratilova,Martina Navratilova,1.0,0.3749732971191406,59,24,153
13,where does jinx you owe me a coke come from,Jinx is a children's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously,Informal game among friends,0.08,1.3150112628936768,138,94,159
14,where does the last name hickey come from,Irish origin,Irish origin,1.0,0.35550570487976074,56,16,153
15,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia",Saudi Arabia,0.8,0.3284773826599121,55,12,153
16,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",Bernard Spear,0.0,0.2717137336730957,60,15,165
17,what is andy's sisters name in toy story,Molly,Molly,1.0,0.2378830909729004,56,12,156
18,who sings with shaggy on it wasn me,English-Jamaican singer Rikrok,Ricardo Ducent,0.0,0.342545747756958,59,18,156
19,what is the largest catholic high school in america,St. Francis Preparatory School,I'm not sure.,0.0,0.3942587375640869,58,28,153
20,who established the peoples republic of china in 1949,Mao Zedong,Mao Zedong,1.0,0.36368513107299805,60,21,159
21,who sang take that look off your face,Marti Webb,Denise van Outen,0.0,0.3474102020263672,57,15,150
22,who plays percy in the lost city of z,Charlie Hunnam,Robert Pattinson,0.0,0.3296091556549072,57,15,156
23,who plays the first lady on house of cards,Joanna C. Going,Robin Wright,0.0,0.2978394031524658,55,12,153
24,who owns st andrews golf course in scotland,The St Andrews Links Trust,The Royal and Ancient Golf Club of St Andrews,0.3333333333333333,0.42873597145080566,64,20,159
25,which city and state hosts the annual college world series,"Omaha, Nebraska","Omaha, Nebraska",1.0,0.39698266983032227,58,18,156
26,who is ted talking about in how i met your mother,Tracy McConnell,The Mother,0.0,0.2683565616607666,57,14,159
